H (A/m);B (T)
14.42933;1.15663
14.25202;1.15625
14.03038;1.15393
13.80873;1.15354
13.58709;1.15074
13.36545;1.14851
13.14381;1.14735
12.92217;1.14155
12.70052;1.14136
12.48381;1.13895
12.26357;1.13641
12.0356;1.13283
11.80287;1.13001
11.58246;1.12594
11.37748;1.12652
11.13907;1.12478
10.92715;1.12132
10.71523;1.11785
10.47682;1.11092
10.2649;1.10399
10.05298;1.09705
9.81457;1.09012
9.57616;1.08146
9.37748;1.07452
9.17881;1.06759
8.99338;1.05893
8.80795;1.05026
8.62252;1.04159
8.42384;1.0312
8.23841;1.01906
8.06504;1.0082
7.8244;0.99577
7.60276;0.9832
7.39589;0.95797
7.15948;0.94608
6.95261;0.92075
6.71619;0.90606
6.49455;0.8875
6.27291;0.86488
6.05127;0.8411
5.82962;0.82137
5.63015;0.79701
5.43067;0.77555
5.20903;0.75177
4.98738;0.72857
4.76574;0.70537
4.5441;0.68159
4.34906;0.65432
4.14514;0.63112
3.94567;0.60778
3.74619;0.58182
3.52455;0.55282
3.30291;0.5244
3.08126;0.49443
2.90395;0.46929
2.70447;0.44392
2.50499;0.41767
2.28969;0.38726
2.10604;0.35677
1.8844;0.33009
1.66276;0.30224
1.47436;0.26592
1.27858;0.24163
1.0791;0.21215
0.85746;0.18121
0.68753;0.15492
0.4585;0.12321
0.29596;0.09566
0.08593;0.06451
-0.06605;0.03669
-0.2497;0.0032
-0.41435;-0.02042
-0.55366;-0.05032
-0.74364;-0.07801
-0.93046;-0.09986
-1.10777;-0.12887
-1.24075;-0.15787
-1.41364;-0.18904
-1.59538;-0.21732
-1.7727;-0.24487
-1.97217;-0.26851
-2.19381;-0.29635
-2.37113;-0.32874
-2.57061;-0.35435
-2.77008;-0.38162
-2.96956;-0.41018
-3.16904;-0.4373
-3.39068;-0.46456
-3.59016;-0.49429
-3.78964;-0.51792
-4.01128;-0.54286
-4.23292;-0.57071
-4.4324;-0.59688
-4.60971;-0.62117
-4.80919;-0.64843
-5.03083;-0.67453
-5.25247;-0.70237
-5.47412;-0.72848
-5.69576;-0.7569
-5.9174;-0.78474
-6.13904;-0.8091
-6.36068;-0.83404
-6.58233;-0.8584
-6.80397;-0.88102
-7.01083;-0.90502
-7.22825;-0.92787
-7.45227;-0.94546
-7.68068;-0.96721
-7.88079;-0.98267
-8.06623;-1
-8.27815;-1.01386
-8.49007;-1.02946
-8.70199;-1.04159
-8.7932;-1.05402
-9.02039;-1.06141
-9.24203;-1.07244
-9.46367;-1.08288
-9.68531;-1.09274
-9.90695;-1.10028
-10.1286;-1.10608
-10.35024;-1.1142
-10.57188;-1.11884
-10.79352;-1.12522
-11.01516;-1.13044
-11.23681;-1.13392
-11.45845;-1.13856
-11.68009;-1.14262
-11.90173;-1.14726
-12.12337;-1.15132
-12.34502;-1.15538
-12.56666;-1.15886
-12.7883;-1.16176
-13.00994;-1.16408
-13.23158;-1.16756
-13.45323;-1.17046
-13.67487;-1.1722
-13.89651;-1.1751
-14.11815;-1.1751
-14.33979;-1.17877
-14.11815;-1.1751
-13.89651;-1.1751
-13.67487;-1.1722
-13.45323;-1.17046
-13.23158;-1.16756
-13.00994;-1.16408
-12.7883;-1.16176
-12.56666;-1.15886
-12.34502;-1.15538
-12.12337;-1.15132
-11.90173;-1.14726
-11.68009;-1.14262
-11.45845;-1.13856
-11.23681;-1.13392
-11.01516;-1.13044
-10.79352;-1.12522
-10.57188;-1.11884
-10.35024;-1.1142
-10.1286;-1.10608
-9.90695;-1.10028
-9.68531;-1.09274
-9.46367;-1.08288
-9.24203;-1.07244
-9.02039;-1.06141
-8.7932;-1.05402
-8.57077;-1.0464
-8.34561;-1.03594
-8.13382;-1.02426
-7.91218;-1.01467
-7.77919;-1.00399
-7.53539;-0.98514
-7.29158;-0.96436
-7.04777;-0.94381
-6.80397;-0.92221
-6.58233;-0.90423
-6.36068;-0.88276
-6.13904;-0.8613
-5.9174;-0.83752
-5.69576;-0.8178
-5.47412;-0.79634
-5.25247;-0.77314
-5.03083;-0.74762
-4.80919;-0.72267
-4.58755;-0.69715
-4.36591;-0.67395
-4.18859;-0.64553
-3.96695;-0.61885
-3.74531;-0.59043
-3.55026;-0.56549
-3.34635;-0.53706
-3.12471;-0.50748
-2.90307;-0.47964
-2.68143;-0.45296
-2.53071;-0.42744
-2.3268;-0.39612
-2.09777;-0.36837
-1.93523;-0.34082
-1.7062;-0.30795
-1.51411;-0.28475
-1.30725;-0.24763
-1.10038;-0.22385
-0.87505;-0.19484
-0.6571;-0.16149
-0.42701;-0.13063
-0.25075;-0.09624
-0.05972;-0.06848
0.11126;-0.03969
0.33783;-0.00859
0.54188;0.02433
0.71919;0.05333
0.89144;0.08705
1.02443;0.11431
1.22501;0.14448
1.41895;0.17855
1.59626;0.20465
1.77358;0.23148
1.97305;0.25932
2.17253;0.28803
2.34985;0.31704
2.54932;0.34401
2.77096;0.37243
2.99261;0.40201
3.21425;0.43159
3.43589;0.45653
3.65753;0.48379
3.87917;0.51454
4.10082;0.54412
4.32246;0.5708
4.5441;0.60212
4.76574;0.6288
4.96522;0.65635
5.1647;0.68333
5.38634;0.71001
5.60798;0.73785
5.82962;0.76395
6.05127;0.79063
6.27291;0.81731
6.49455;0.84226
6.71619;0.86256
6.91567;0.88329
7.15948;0.90432
7.35895;0.92245
7.60276;0.94202
7.8244;0.96174
8.00171;0.97392
8.17903;0.98552
8.31727;0.99827
8.48933;1.00925
8.71097;1.02383
8.93261;1.0347
9.15425;1.04403
9.37589;1.05326
9.59754;1.06399
9.8241;1.07402
10.05067;1.07937
10.26246;1.08719
10.48965;1.0948
10.70575;1.10197
10.92246;1.10798
11.13918;1.1141
11.38052;1.11764
11.58246;1.12594
11.80287;1.13001
12.0356;1.13283
12.26357;1.13641
12.48381;1.13895
12.70052;1.14136
12.92217;1.14155
13.14381;1.14735
13.36545;1.14851
13.58709;1.15074
13.80873;1.15354
14.03038;1.15393
14.25202;1.15625
14.42933;1.15663
