H [A/m],M [A/m],dM/dH,H*dM/dH
0.12659,8200.50647062116,64773.213309759,8199.6410728824
0.149039619899558,9654.59725819574,64769.254542822,9653.18507823992
0.175470481869063,11366.4339441555,64763.7679903387,11364.129576921
0.206588624072656,13381.6469897329,64756.1644817466,13377.8869205066
0.243225294315201,15753.909453434,64745.6280456013,15747.7744370139
0.286359154867649,18546.3320117265,64731.0289747153,18536.3227509128
0.337142425122309,21833.085690269,64710.8039115171,21816.7573623431
0.396931660417444,25701.2803411026,64682.7907572664,25674.6475357158
0.467323989214916,30253.1241847418,64644.0019901547,30209.6928888561
0.550199776621663,35608.3818247041,64590.3145726782,35537.5766498105
0.647772853910375,41907.1313136796,64516.0479722719,41791.7445180172
0.762649655802625,49312.7891761935,64413.3941578327,49124.8528835499
0.897898845227521,58015.3165325741,64271.655720496,57709.4454522942
1.05713328541719,68234.4256376118,64076.2428821726,67737.1291552209
1.24460654903032,80222.4539521578,63807.382203084,79415.0857664394
1.46532654231756,94266.3347599238,63438.5091570243,92958.1312728435
1.72518927953032,110687.736155511,62934.3709798821,108573.702128477
2.03113638104109,129839.933702761,62248.9835843634,126436.17524103
2.39134050236612,152099.322486524,61323.8060483957,146646.101162773
2.81542364738972,177848.735902008,60086.8579385349,169169.960737498
3.31471419751317,207449.165004471,58454.0126409604,193758.345602606
3.90254952265606,241196.599953425,56334.2410971198,219847.165702756
4.59463225764959,279262.451467753,53640.800063121,246459.750296148
5.40944976110548,321620.456612526,50309.5814441129,272147.153324173
6.36876796161558,367970.667400424,46323.2888590766,295022.277962351
7.49821278321881,417680.598803791,41735.7363355899,312943.43170857
8.82795468154624,469770.167396447,36686.2408398485,323864.471570473
10.3935145764134,522963.842599735,31393.635511993,326290.20830051
12.2367127094492,575816.394011551,26125.8185942093,319694.136436525
14.4067857732554,626892.139821182,21151.8948669883,304730.81804712
16.9617021535693,674954.208067974,16692.7674368524,283137.749382691
19.9697104180227,719112.513799136,12886.5486312889,257340.644454607
23.5111624157228,758891.256711468,9777.96036291443,229891.21418698
27.6806596874642,794204.071440826,7331.19755069006,202932.384502223
32.5895805228587,825257.122032045,5458.04623450362,177875.437256842
38.3690551687567,852423.572047351,4049.46427049284,155374.117998449
45.1734686646391,876134.578418203,3000.22321097329,135530.489207825
53.1845848749697,896811.74761587,2221.84151835066,118167.718811452
62.6164018823071,914839.444695907,1645.41888197669,103030.209978589
73.7208684415595,930560.704729123,1219.12548069822,89874.9891763066
86.7946141969774,944281.626595596,904.352985210513,78492.9684492313
102.186873443766,956276.746083483,672.350808868368,68705.4270156453
120.308814098926,966793.45368452,501.689299745124,60357.6446984567
141.644521082791,976055.543338122,376.398465531406,53314.7803864935
166.763927506392,984266.264203528,284.59247779729,47459.7593362517
196.338039090845,991611.133459216,217.443035065749,42692.3391187711
231.156858503232,998260.652589347,168.408547999292,38928.790900607
272.150488415338,1004372.99891395,132.654095020674,36101.8767501712
320.413977003721,1010096.72543553,106.615058115723,34160.9547793417
377.236569580064,1015573.48210706,87.6694593468284,33072.1261009364
444.136147740153,1020940.760814,73.8925893141154,32818.3699645164
522.899775992151,1026334.65752047,63.873820080924,33399.6062120781
615.631438971752,1031892.63199052,56.5802484840307,34832.5797916031
724.808244431377,1037756.22189078,51.2554540126431,37150.3756404371
853.346593333743,1044073.62617657,47.3444580349005,40401.2319773147
1004.68008462788,1051002.00229301,44.438134100792,44646.1083290889
1182.85123575002,1058709.20964956,42.2319910056358,49954.1627492002
1392.61946894625,1067374.56247512,40.495551912877,56394.8939995962
1639.58824801701,1077187.91477733,39.049587821773,64025.2452824873
1930.35476164182,1088346.0883375,37.7493241098157,72869.5875441431
2272.6861517213,1101045.30939088,36.4725021915502,82890.5506493607
2675.72699426125,1115468.06093958,35.1118876324938,93949.8255577313
3150.24357516141,1131762.84562729,33.5724331007396,105761.341678141
3708.91148616069,1150016.22222199,31.7736378748035,117845.610470969
4366.65422338648,1170218.64008435,29.6573107947024,129503.221435973
5141.0418333701,1192229.27023403,27.1995093383305,139833.815355498
6052.76025541674,1215749.46086514,24.422921575137,147826.089031149
7126.16389770491,1240317.34349594,21.4035560839245,152525.248647765
8389.92620788288,1265334.28079234,18.2655851197387,153246.911298411
9877.80561662219,1290125.53672163,15.1621755238555,149769.022549751
11629.5473145043,1314025.06926576,12.2467287618492,142423.911583825
13691.9449510833,1336463.67547766,9.64391204708632,132043.912861795
16120.0906169139,1357036.56963987,7.42987964540752,119770.333156733
18978.8464988647,1375532.61604952,5.62671571260482,106788.573802277
22344.5775205218,1391920.48960574,4.21047783207094,94081.3483171478
26307.1912510844,1406302.02546679,3.12784409589022,82284.7928341592
30972.5395741101,1418853.41462223,2.31442625712999,71683.6588403181
36465.2462710277,1429775.07218159,1.70878878724673,62311.4039521228
42932.036051645,1439261.14498752,1.25959877629131,54077.1400743464
50545.6539588537,1447487.32702872,0.927009702599219,46856.31164408
59509.4798451865,1454609.24008732,0.681082847982991,40530.886014946
70062.9611860889,1460764.47186873,0.499522910528255,34998.0542919033
82488.0093547055,1466074.9481695,0.365728212236081,30168.1921922095
97116.5302195792,1470648.82059348,0.267325691849435,25961.7436309656
114339.290227427,1474581.92668493,0.195096139984504,22307.154171939
134616.354807497,1477958.99093083,0.14217955371896,19139.693249803
158489.377934855,1480854.67883825,0.103481869261012,16400.7770867139
186596.071139334,1483334.56283505,0.0752295220609729,14037.5332502674
219687.238465576,1485456.02630713,0.0546343113203291,12002.4609794316
258646.832432996,1487269.114602,0.0396413632852753,10253.1130470621
304515.566743331,1488817.33349545,0.0287399672987365,8751.76743015957
358518.716493599,1490138.39257239,0.0208220112128445,7465.08073484433
422098.8485116,1491264.89075203,0.0150763908409143,6363.72721366075
496954.356127734,1492224.94228046,0.0109105232279326,5422.03204575392
585084.827748694,1493042.7430384,0.0078922033304207,4617.60842613686
688844.461147513,1493739.07849707,0.00570666835939776,3931.00689097691
811004.950306827,1494331.77587834,0.00412498514817618,3345.38337511302
954829.524689072,1494836.1039658,0.00298083621229384,2846.1904237605
1124160.11871818,1495265.12457804,0.00215351359856321,2420.89410262204
1323520,1495630,0.00155548658965976,2058.71761114648
